ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
701734,ARILJE,ARILJE,2131,2003
701742,ARILJE,BJELUŠA,317,266
701769,ARILJE,BOGOJEVIĆI,399,334
701777,ARILJE,BREKOVO,354,297
701785,ARILJE,VIGOŠTE-POGLED,812,591
701793,ARILJE,VISOKA,255,210
701807,ARILJE,VRANE,366,280
701815,ARILJE,GRDOVIĆI,280,267
701823,ARILJE,GRIVSKA,278,228
701831,ARILJE,DOBRAČE,585,491
701840,ARILJE,ĐEDOVAC,87,74
701858,ARILJE,KRUŠČICA,385,328
701866,ARILJE,LATVICA,215,157
701874,IVANJICA,MOČIOCI,153,133
701882,IVANJICA,PRESEKA,283,250
701904,ARILJE,RADOBUĐA,258,213
701912,ARILJE,RADOŠEVO,249,173
701939,ARILJE,SEVEROVO,229,180
701947,ARILJE,STUPČEVIĆI,518,409
701955,NOVA VAROŠ,TRUDOVO,180,93
701963,ČAJETINA,ČIČKOVA,57,37
701971,BABUŠNICA,ALEKSANDROVAC,51,51
701980,BABUŠNICA,BABUŠNICA,995,928
701998,BABUŠNICA,BERDUJ,203,185
702005,BABUŠNICA,BERIN IZVOR,138,125
702013,BABUŠNICA,BOGDANOVAC,362,346
702021,BABUŠNICA,BRATIŠEVAC,157,153
702030,BABUŠNICA,BRESTOV DOL,118,117
702048,BABUŠNICA,VAVA,167,146
702056,BABUŠNICA,VALNIŠ,174,172
702064,BABUŠNICA,VELIKO BONJINCE,540,521
702072,BABUŠNICA,VRELO,208,195
702099,BABUŠNICA,VUČI DEL,128,116
702102,BABUŠNICA,GORNJE KRNJINO,298,274
702129,BABUŠNICA,GORČINCE,331,300
702137,BABUŠNICA,GRNČAR,309,302
702145,BABUŠNICA,DOL,157,154
702153,BABUŠNICA,DONJE KRNJINO,133,104
702161,BABUŠNICA,DRAGINAC,337,240
702170,BABUŠNICA,DUČEVAC,131,123
702188,BABUŠNICA,ZAVIDINCE,342,320
702196,BABUŠNICA,ZVONCE,317,283
702200,BABUŠNICA,IZVOR,271,266
702218,BABUŠNICA,JASENOV DEL,239,228
702226,BABUŠNICA,KALUĐEROVO,196,168
702234,BABUŠNICA,KAMBELEVAC,273,250
702242,BABUŠNICA,KIJEVAC,81,79
702269,BABUŠNICA,LESKOVICA,85,78
702277,BABUŠNICA,LINOVO,234,231
702285,BABUŠNICA,LJUBERAĐA,258,243
702293,BABUŠNICA,MALO BONJINCE,109,109
702307,BABUŠNICA,MASUROVAC,75,73
702315,BABUŠNICA,MEZGRAJA,61,58
702323,BABUŠNICA,MODRA STENA,251,231
702331,BABUŠNICA,NAŠUŠKOVICA,235,208
702340,BABUŠNICA,OSTATOVICA,186,180
702358,BABUŠNICA,PRESEKA,222,191
702366,BABUŠNICA,PROVALJENIK,97,69
702374,BABUŠNICA,RADINJINCE,206,197
702382,BABUŠNICA,RADOSIN,123,121
702404,BABUŠNICA,RADOŠEVAC,117,80
