geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2003840,Општинско јавно правобранилаштво Ада,правобранилаштво,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,4.2,8,0,8,45.796404,20.13345
SRBRGI2003847,Туристичка организација,јавни објекат,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,3.9,8,0,8,45.796427,20.133538
SRBRGI2003848,Јавно предузеће за рекреацију „Адица”,јавни објекат,nestambeno,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,1.9,8,0,8,45.796429,20.133514
SRBRGI2004230,Месна заједница Северни булевар,месна заједница,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ПАНТЕ СРЕЋКОВИЋА,3,3.6,8,0,8,44.807564,20.495512
SRBRGI2004815,Дом здравља Бољевац,дом здравља,nestambeno,БОЉЕВАЦ,БОЉЕВАЦ,ДРАГИШЕ ПЕТРОВИЋА,29,3.4,8,0,8,43.829154,21.953192
SRBRGI2004934,Служба за катастар непокретности Велико Градиште,државни органи,nestambeno,ВЕЛИКО ГРАДИШТЕ,ВЕЛИКО ГРАДИШТЕ,ЖИТНИ ТРГ,1,3.0,8,0,8,44.766556,21.519873
SRBRGI2006689,Висока пословна школа струковних студија – Блаце,висока струковна школа,nestambeno,БЛАЦЕ,БЛАЦЕ,КРАЉА ПЕТРА ПРВОГ,1,7.0,8,0,8,43.29598,21.287197
SRBRGI2006908,Предшколска установа „Адријана”,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ВОЈВОДЕ БОГДАНА,11,0.0,8,0,8,44.803968,20.483497
SRBRGI2009801,Београдска уметничка школа за дизајн и нове медије,средња школа,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ВИШЕГРАДСКА,25,3.4,8,0,8,44.800747,20.455953
SRBRGI2010645,Кућа Милутина Миланковића,споменик културе,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЉУБОМИРА СТОЈАНОВИЋА,7,2.5,8,0,8,44.815683,20.478735
SRBRGI2010778,Српска школа у Горњој вароши,споменик културе,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),СВЕТОТРОЈЧИНА,4,6.8,8,0,8,44.850211,20.396579
SRBRGI2011762,Центар за социјални рад – Бечеј,објекат социјалне заштите,stambeno-moguce,БЕЧЕЈ,БЕЧЕЈ,ЗЕЛЕНА,80,2.2,8,0,8,45.616134,20.0445
SRBRGI2011767,Центар за социјални рад – Ада,објекат социјалне заштите,stambeno-moguce,АДА,АДА,ТРГ ОСЛОБОЂЕЊА,1,1.9,8,0,8,45.796423,20.133468
SRBRGI2012466,Народна библиотека „Вук Караџић”,библиотека,nestambeno,БАТОЧИНА,БАТОЧИНА,ЊЕГОШЕВА,7,5.4,8,0,8,44.1536,21.078888
SRBRGI2012467,Центар за социјални рад – Ковачица,објекат социјалне заштите,stambeno-moguce,КОВАЧИЦА,КОВАЧИЦА,ЧАПЛОВИЧЕВА,17,4.7,8,0,8,45.113943,20.617619
SRBRGI2012529,Установа за одрасле и старије – Врбас,дом за старе,stambeno-moguce,ВРБАС,ВРБАС,МАРШАЛА ТИТА,34,2.8,8,0,8,45.575493,19.633027
SRBRGI2013103,Вртић „Сунашце”,предшколска установа,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),СУСЕДГРАДСКА,2Ж,7.4,8,0,8,44.738022,20.428403
